,name,type,latitude_deg,longitude_deg,iso_country,iso_region,municipality,icao_code,iata_code,municipality_iso_country
1045,Miramar Marine Corps Air Station - Mitscher Field,medium_airport,32.86840057,-117.1429977,US,US-CA,San Diego,KNKX,NKX,"San Diego,US"
1046,North Island Naval Air Station-Halsey Field,medium_airport,32.69919968,-117.2149963,US,US-CA,San Diego,KNZY,NZY,"San Diego,US"
1047,San Diego International Airport,large_airport,32.7336006165,-117.190002441,US,US-CA,San Diego,KSAN,SAN,"San Diego,US"
1048,Brown Field Municipal Airport,medium_airport,32.572299957275,-116.98000335693,US,US-CA,San Diego,KSDM,SDM,"San Diego,US"
1049,Lemoore Naval Air Station (Reeves Field) Airport,medium_airport,36.33300018,-119.9520035,US,US-CA,Lemoore,KNLC,NLC,"Lemoore,US"
1050,Naval Air Station Pensacola Forrest Sherman Field,medium_airport,30.352699,-87.318604,US,US-FL,Pensacola,KNPA,NPA,"Pensacola,US"
1051,Pensacola International Airport,medium_airport,30.4734,-87.1866,US,US-FL,Pensacola,KPNS,PNS,"Pensacola,US"
1052,Millington-Memphis Airport,medium_airport,35.356701,-89.8703,US,US-TN,Millington,KNQA,NQA,"Millington,US"
1053,Kingsville Naval Air Station,medium_airport,27.5072002411,-97.8097000122,US,US-TX,Kingsville,KNQI,NQI,"Kingsville,US"
1054,Whiting Field Naval Air Station - North,medium_airport,30.7241993,-87.02189636,US,US-FL,Milton,KNSE,NSE,"Milton,US"
1055,Oceana Naval Air Station,medium_airport,36.820702,-76.033501,US,US-VA,Virginia Beach,KNTU,NTU,"Virginia Beach,US"
